,Tiers_Key,ancienne_classe_risque,date_entree_risque,classe_risque_actuelle,date_entree_classe_risque_actuelle,code_agence,code_dr,age_tiers,anciennete,sexe_rec,segment,etat_civil,situation_contractuelle,convention,employeur_client,revenu_mensuel,rupture_revenu,mvt_debit_moyen,duree_sommeil,max_credit,min_debit,nbr_mvt_credit,nbr_mvt_debit,nbr_open_comptes,nbr_closed_comptes,nbr_abonnements,nbr_desabonnements,total_placement,nbr_placements_actifs,nbr_placements_echus,nbr_open_engagements,nbr_closed_engagements,encours_Fin_periode,impaye_Fin_periode,nbr_impayes_periode,solde_moyen_mensuel,eng_cct,eng_cmt,eng_clt,Engagement_STB,Engagement_Secteur,anciennete_dern_eng_anticip,sortie_risque
2056,2602958,2,2019-12-31,1,2020-03-31,2,Z 580     ,43,0,Female,Particulier,0,5.0,-1,-1,71.25,0,-93.25,85,501.0,-300.0,4,14,1,0,1,0,0.0,0,0,0,0,0.0,0.0,0.0,6.096,0.0,0.0,0.0,0.0,0.0,0.0,1
2057,2603037,2,2019-12-31,1,2020-03-31,66,Z 510     ,78,0,Female,Particulier,3,5.0,-1,-1,0.0,0,-17.85,85,0.0,-17.85,0,1,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,-8.925,0.0,0.0,0.0,0.0,0.0,0.0,1
2058,2603122,2,2019-12-31,1,2020-03-31,101,Z 610     ,34,0,Male,Professional,0,7.0,-1,-1,1.666666,0,-35.7,85,20.0,-35.7,1,1,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,1
2059,2603204,2,2019-12-31,1,2020-03-31,112,Z 580     ,24,0,Male,Particulier,0,2.0,-1,-1,2.5,0,-17.85,85,30.0,-20.0,1,2,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,10.717,0.0,0.0,0.0,0.0,0.0,0.0,1
2060,2604013,2,2019-12-31,1,2020-06-30,66,Z 510     ,43,0,Female,Particulier,0,5.0,-1,-1,0.0,0,-17.85,85,0.0,-17.85,0,1,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,-8.925,0.0,0.0,0.0,0.0,0.0,0.0,1
2061,2604362,2,2019-12-31,1,2020-03-31,80,Z 580     ,35,0,Male,Professional,1,7.0,-1,-1,0.0,0,-17.85,85,0.0,-17.85,0,1,4,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,-8.925,0.0,0.0,0.0,0.0,0.0,0.0,1
2062,2604729,2,2019-12-31,1,2020-03-31,12,Z 510     ,22,0,Female,Particulier,0,1.0,-1,-1,1.666666,0,-17.85,85,20.0,-20.0,1,2,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,-8.925,0.0,0.0,0.0,0.0,0.0,0.0,1
2063,2605970,2,2019-12-31,3,2020-06-30,2,Z 580     ,24,0,Female,Particulier,0,5.0,-1,-1,58.333333,0,-239.738,85,700.0,-400.0,1,6,1,0,2,0,0.0,0,0,0,0,0.0,0.0,0.0,-57.256,0.0,0.0,0.0,0.0,0.0,0.0,-1
2064,2606214,2,2019-12-31,3,2020-06-30,66,Z 510     ,31,0,Male,Particulier,0,6.0,-1,-1,647.083333,0,-972.651,85,3865.0,-3865.0,4,11,1,0,1,0,0.0,0,0,0,0,0.0,0.0,0.0,-5.506,0.0,0.0,0.0,0.0,0.0,0.0,-1
2065,2606515,2,2019-12-31,1,2020-03-31,23,Z 610     ,38,0,Male,Particulier,0,5.0,-1,-1,747.086583,0,-2245.412,85,8955.039,-8900.0,2,5,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,-6.088,0.0,0.0,0.0,0.0,0.0,0.0,1
2066,2606979,2,2019-12-31,1,2020-03-31,131,Z 510     ,32,0,Male,Particulier,0,1.0,-1,-1,57.536916,0,-349.321,85,690.443,-680.0,1,4,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,-0.691,0.0,0.0,0.0,0.0,0.0,0.0,1
2067,2607003,2,2019-12-31,1,2020-03-31,22,Z 510     ,23,0,Female,Particulier,0,1.0,-1,-1,0.0,0,-17.85,85,0.0,-17.85,0,1,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,-8.925,0.0,0.0,0.0,0.0,0.0,0.0,1
2068,2607168,2,2019-12-31,1,2020-03-31,51,Z 580     ,27,0,Male,Particulier,0,5.0,-1,-1,40.0,0,-30.889,68,280.0,-101.3,2,17,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,189.718,0.0,0.0,0.0,0.0,0.0,0.0,1
2069,2607326,2,2019-12-31,1,2020-03-31,120,Z 610     ,26,0,Female,Particulier,0,3.0,-1,-1,1.666666,0,-17.85,85,20.0,-20.0,1,2,1,0,1,0,0.0,0,0,0,0,0.0,0.0,0.0,0.717,0.0,0.0,0.0,0.0,0.0,0.0,1
